epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,131.991,0.4467,1.44918,1.04596,1,0.71051,0.925,0.85021,0.43098,2.13297,1.19256,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
54,134.619,0.43747,1.25944,1.07807,1,0.6956,0.905,0.8324,0.40061,2.10447,1.19586,0.00206475,0.00068825,0.00206475,0.00068825,0.00206475,0.00068825,0.00206475,0.00068825
55,136.851,0.41124,1.2521,1.09996,1,0.6956,0.905,0.8324,0.40061,2.10447,1.19586,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635
56,139.176,0.33506,1.21041,0.9904,1,0.69425,0.89,0.80867,0.41748,2.10191,1.21764,0.00191625,0.00063875,0.00191625,0.00063875,0.00191625,0.00063875,0.00191625,0.00063875
57,141.309,0.4557,1.19355,1.06196,1,0.69425,0.89,0.80867,0.41748,2.10191,1.21764,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
58,143.886,0.39284,1.22036,1.05086,0.97329,0.57143,0.8447,0.79099,0.46829,2.11392,1.24136,0.00176775,0.00058925,0.00176775,0.00058925,0.00176775,0.00058925,0.00176775,0.00058925
59,146.024,0.35146,1.19026,1.03189,0.97329,0.57143,0.8447,0.79099,0.46829,2.11392,1.24136,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645
60,148.544,0.31839,1.12074,0.98782,0.97331,0.57143,0.83046,0.77814,0.49531,2.14596,1.26241,0.00161925,0.00053975,0.00161925,0.00053975,0.00161925,0.00053975,0.00161925,0.00053975
61,150.65,0.38911,1.11373,1.04492,0.97331,0.57143,0.83046,0.77814,0.49531,2.14596,1.26241,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
62,153.138,0.40693,1.15861,1.06686,0.97362,0.57143,0.83046,0.76314,0.52608,2.13161,1.27736,0.00147075,0.00049025,0.00147075,0.00049025,0.00147075,0.00049025,0.00147075,0.00049025
63,155.313,0.34687,1.1339,1.00308,0.97362,0.57143,0.83046,0.76314,0.52608,2.13161,1.27736,0.0013965,0.0004655,0.0013965,0.0004655,0.0013965,0.0004655,0.0013965,0.0004655
64,157.925,0.43713,1.17591,1.07142,0.82392,0.67395,0.85269,0.78958,0.52483,2.13404,1.27335,0.00132225,0.00044075,0.00132225,0.00044075,0.00132225,0.00044075,0.00132225,0.00044075
65,160.162,0.37579,1.0327,1.01858,0.82392,0.67395,0.85269,0.78958,0.52483,2.13404,1.27335,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
66,162.636,0.37699,0.98418,1.07143,0.8407,0.75848,0.85269,0.7875,0.50629,2.07627,1.25516,0.00117375,0.00039125,0.00117375,0.00039125,0.00117375,0.00039125,0.00117375,0.00039125
67,164.843,0.38331,1.13553,1.03796,0.8407,0.75848,0.85269,0.7875,0.50629,2.07627,1.25516,0.0010995,0.0003665,0.0010995,0.0003665,0.0010995,0.0003665,0.0010995,0.0003665
68,167.336,0.46604,1.10592,1.10048,0.84986,0.81347,0.86658,0.80667,0.45822,2.01295,1.23044,0.00102525,0.00034175,0.00102525,0.00034175,0.00102525,0.00034175,0.00102525,0.00034175
69,169.48,0.37253,1.12956,0.96944,0.84986,0.81347,0.86658,0.80667,0.45822,2.01295,1.23044,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
70,172.079,0.37115,1.10431,0.99715,0.85318,0.83334,0.88658,0.85065,0.40066,1.97868,1.18029,0.00087675,0.00029225,0.00087675,0.00029225,0.00087675,0.00029225,0.00087675,0.00029225
71,174.538,0.39897,1.56328,1.0468,0.85318,0.83334,0.88658,0.85065,0.40066,1.97868,1.18029,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675
72,177.207,0.4285,1.54391,1.04042,0.85324,0.8337,0.87583,0.84742,0.40573,1.92031,1.1688,0.00072825,0.00024275,0.00072825,0.00024275,0.00072825,0.00024275,0.00072825,0.00024275
73,179.422,0.46803,1.51588,1.13086,0.85324,0.8337,0.87583,0.84742,0.40573,1.92031,1.1688,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
74,181.74,0.44116,1.57993,1.07228,0.85327,0.83388,0.90033,0.83523,0.41416,1.84314,1.18159,0.00057975,0.00019325,0.00057975,0.00019325,0.00057975,0.00019325,0.00057975,0.00019325
75,183.741,0.41132,1.64848,1.04587,0.85327,0.83388,0.90033,0.83523,0.41416,1.84314,1.18159,0.0005055,0.0001685,0.0005055,0.0001685,0.0005055,0.0001685,0.0005055,0.0001685
76,186.109,0.3927,1.60419,1.03617,0.85311,0.83297,0.89265,0.8408,0.458,1.77477,1.21045,0.00043125,0.00014375,0.00043125,0.00014375,0.00043125,0.00014375,0.00043125,0.00014375
77,188.157,0.34417,1.48944,1.01182,0.85311,0.83297,0.89265,0.8408,0.458,1.77477,1.21045,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
78,190.581,0.47704,1.57608,1.08399,1,0.68912,0.87444,0.82131,0.43017,1.72075,1.17273,0.00028275,9.425e-05,0.00028275,9.425e-05,0.00028275,9.425e-05,0.00028275,9.425e-05
79,192.666,0.59062,1.87843,1.13551,1,0.68912,0.87444,0.82131,0.43017,1.72075,1.17273,0.0002085,6.95e-05,0.0002085,6.95e-05,0.0002085,6.95e-05,0.0002085,6.95e-05
80,195.06,0.52097,1.72614,1.1339,0.74253,0.85714,0.862,0.8336,0.40678,1.70338,1.16481,0.00013425,4.475e-05,0.00013425,4.475e-05,0.00013425,4.475e-05,0.00013425,4.475e-05
